artist,danceability,energy_i,loudness,speechiness,acousticness,instrumentalness,liveness,valence_i,tempo,valence_l,arousal,dominance,goodness,energy_l,structure,power,danger,scored_words,genre
The Walters,0.575,0.648,-4.891,0.0358,0.583,0.0,0.115,0.466,75.977,0.1540522891566265,-0.0484720240963855,0.0464413855421686,0.1626478373493975,-0.0393875361445783,0.0152535662650602,0.0871581686746987,-0.142860626506024,166,indie
The Weeknd,0.58648,0.65352,-6.9217200000000005,0.078572,0.21028008,0.011671334,0.236804,0.436508,121.3382,0.1153475583788618,-0.061436860281993,0.0235832865501963,0.1201512919859956,-0.0563017819273244,0.0054256212459549,0.045148395795875,-0.1247711656466021,8738,pop
ThxSoMch,0.73,0.785,-6.512,0.0554,0.0464,0.0216,0.111,0.649,94.094,0.1000273933649289,-0.0577527298578199,0.0160961848341232,0.1027650284360189,-0.054877289099526,0.0052650663507109,0.0338617393364929,-0.1114699573459715,211,r&b
Tom Odell,0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,0.1533845801526717,-0.0588591297709923,0.0375549236641221,0.1593443664122137,-0.0526681603053435,0.0153940305343511,0.0754314122137404,-0.1499154656488549,131,pop
Tory Lanez,0.645,0.534,-10.8,0.0479,0.157,0.0,0.0863,0.463,105.02,0.1414071356783919,-0.0509207738693467,0.0366992713567839,0.1474022361809045,-0.0446721055276381,0.0145829396984924,0.0726411155778894,-0.1358170201005025,199,hip hop
Travis Scott,0.841,0.728,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,0.0982334818941504,-0.0542445515320334,0.0252823259052924,0.1051139860724234,-0.0467170167130919,-7.610027855151072e-06,0.0412928635097493,-0.107360782729805,359,hip hop
Trippie Redd,0.7083333333333334,0.6483333333333333,-5.767,0.0883333333333333,0.0543333333333333,3.366666666666667e-05,0.347,0.367,100.167,0.1239383440077722,-0.0646375363766313,0.0449067985037221,0.138314225611537,-0.0487532919332182,-0.0068978717715236,0.063329063776833,-0.1322767167149336,560,hip hop
Tyga,0.799,0.653,-5.453,0.037,0.019,0.0,0.0935,0.236,104.019,0.1137382938388625,-0.0588475165876777,0.0049018720379146,0.1093814644549763,-0.0640359241706161,0.0189342322274881,0.0320641421800947,-0.1226245781990521,211,hip hop
Tyler,0.482,0.5988333333333333,-7.373666666666666,0.06705,0.2931166666666667,2.4980000000000005e-05,0.4096666666666667,0.574,122.33733333333332,0.1280647205073524,-0.0748331120839628,0.02405678483908,0.1333633596716512,-0.0691259594754243,0.0038791523917262,0.0454226753569372,-0.1431815694251356,2251,hip hop
Tyler Childers,0.5605,0.562,-7.0235,0.02545,0.579,0.00140485,0.11,0.858,82.685,0.1439201420399457,-0.0776418774481287,0.0303276449486135,0.1504957276517355,-0.0705728920520651,0.0056102506423308,0.0565139251260422,-0.1563191209642234,407,country
Vacations,0.498,0.81,-4.065,0.0263,0.00392,0.00717,0.0635,0.594,79.935,0.111054074074074,-0.0639141481481481,0.0139412962962962,0.1121713629629629,-0.0628877407407407,0.0086636814814814,0.0348488074074074,-0.1237854,135,indie
Van Morrison,0.491,0.583,-10.964,0.0376,0.185,0.0,0.406,0.908,150.566,0.1287925,-0.0932472499999999,0.0093364772727272,0.1296553664772727,-0.0924142471590909,0.00433025,0.0263333352272727,-0.15702696875,352,rock
Vance Joy,0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,0.1406395744680851,-0.0647425957446808,0.035722659574468,0.1483331932624113,-0.0564826010638297,0.0073558634751773,0.0649481489361702,-0.1448266436170212,564,rock
Vundabar,0.467,0.757,-5.093,0.033,0.0807,0.908,0.0876,0.433,82.282,0.0890430372492836,-0.0550519598853868,0.0207017335243553,0.0950918280802292,-0.0484003553008596,-0.0016869770773638,0.0330157621776504,-0.1014643323782235,349,rock
